COM,status,mean_altitude,superficie,is_metropole,metropole_name
03300,Commune simple,265.0,3508.0,0,
02058,Commune simple,89.0,964.0,0,
76752,Chef-lieu canton,164.0,1045.0,0,
24156,Commune simple,209.0,2385.0,0,
65352,Commune simple,893.0,475.0,0,
66192,Commune simple,1644.0,841.0,0,
39522,Commune simple,715.0,1406.0,0,
56234,Commune simple,12.0,779.0,0,
33138,Chef-lieu canton,19.0,3384.0,0,
47091,Commune simple,80.0,806.0,0,
09072,Commune simple,453.0,405.0,0,
62340,Commune simple,116.0,466.0,0,
59035,Commune simple,181.0,1275.0,0,
30150,Commune simple,102.0,871.0,0,
32194,Commune simple,124.0,844.0,0,
72311,Commune simple,100.0,1144.0,0,
88446,Commune simple,362.0,957.0,0,
60278,Commune simple,72.0,413.0,0,
33519,Commune simple,26.0,1509.0,1,Bordeaux
76707,Commune simple,86.0,589.0,0,
09155,Commune simple,1246.0,932.0,0,
80606,Chef-lieu canton,113.0,806.0,0,
02177,Commune simple,151.0,369.0,0,
2B337,Commune simple,487.0,1559.0,0,
30115,Commune simple,260.0,1324.0,0,
19248,Commune simple,406.0,3048.0,0,
05139,Chef-lieu canton,1715.0,6787.0,0,
25286,Commune simple,927.0,1198.0,0,
22098,Commune simple,86.0,1208.0,0,
50419,Commune simple,35.0,1604.0,0,
02570,Commune simple,69.0,534.0,0,
06157,Chef-lieu canton,533.0,3934.0,1,Nice
10091,Commune simple,153.0,1385.0,0,
43138,Commune simple,1003.0,3526.0,0,
77392,Commune simple,105.0,415.0,0,
67322,Commune simple,275.0,3213.0,0,
57494,Commune simple,229.0,659.0,0,
51632,Commune simple,158.0,953.0,0,
19049,Commune simple,238.0,1865.0,0,
32387,Commune simple,227.0,610.0,0,
65280,Commune simple,464.0,660.0,0,
90105,Commune simple,570.0,297.0,0,
76387,Commune simple,153.0,463.0,0,
71243,Commune simple,236.0,1132.0,0,
34150,Commune simple,5.0,5310.0,0,
61286,Commune simple,170.0,1110.0,0,
62596,Commune simple,87.0,1580.0,0,
22373,Commune simple,207.0,714.0,0,
85218,Commune simple,50.0,1564.0,0,
08192,Commune simple,139.0,719.0,0,
65140,Commune simple,889.0,159.0,0,
71016,Commune simple,332.0,1504.0,0,
86157,Commune simple,125.0,2161.0,0,
22295,Commune simple,228.0,2217.0,0,
11270,Commune simple,395.0,3018.0,0,
39581,Commune simple,225.0,795.0,0,
51118,Commune simple,84.0,443.0,0,
68112,Sous-préfecture,376.0,956.0,0,
28058,Commune simple,121.0,550.0,0,
09100,Commune simple,1571.0,5644.0,0,
28057,Commune simple,139.0,1567.0,0,
08016,Commune simple,220.0,1267.0,0,
51564,Commune simple,153.0,1011.0,0,
08122,Commune simple,191.0,1325.0,0,
73097,Commune simple,710.0,851.0,0,
86144,Commune simple,125.0,919.0,0,
05080,Commune simple,1203.0,2543.0,0,
35054,Commune simple,77.0,1798.0,0,
41289,Commune simple,126.0,2897.0,0,
37221,Commune simple,120.0,3282.0,0,
01415,Commune simple,267.0,496.0,0,
51597,Commune simple,175.0,515.0,0,
61418,Commune simple,194.0,1920.0,0,
18073,Commune simple,153.0,2274.0,0,
04203,Commune simple,1273.0,2986.0,0,
51376,Commune simple,157.0,841.0,0,
27096,Commune simple,207.0,2225.0,0,
02627,Commune simple,107.0,1131.0,0,
57214,Commune simple,165.0,354.0,0,
28203,Commune simple,192.0,1040.0,0,
19118,Commune simple,442.0,3659.0,0,
26376,Commune simple,834.0,2621.0,0,
51054,Commune simple,116.0,1771.0,0,
02341,Commune simple,148.0,657.0,0,
11054,Commune simple,543.0,1229.0,0,
53140,Commune simple,102.0,2076.0,0,
77233,Commune simple,112.0,174.0,0,
28087,Commune simple,159.0,1481.0,0,
40186,Commune simple,76.0,1445.0,0,
24550,Chef-lieu canton,230.0,2695.0,0,
52539,Commune simple,316.0,428.0,0,
14038,Commune simple,32.0,471.0,0,
58277,Commune simple,303.0,2236.0,0,
43020,Chef-lieu canton,595.0,4690.0,0,
60545,Commune simple,209.0,1047.0,0,
40320,Commune simple,56.0,3858.0,0,
67210,Commune simple,780.0,2085.0,0,
2B137,Commune simple,823.0,826.0,0,
39557,Commune simple,615.0,2028.0,0,
51582,Commune simple,116.0,1227.0,0,
38416,Chef-lieu canton,309.0,778.0,0,
60319,Commune simple,212.0,658.0,0,
59332,Chef-lieu canton,31.0,17.0,1,Lille
89334,Commune simple,215.0,2499.0,0,
57010,Commune simple,263.0,414.0,0,
37143,Commune simple,107.0,3949.0,0,
81235,Commune simple,236.0,796.0,0,
23122,Commune simple,539.0,955.0,0,
59549,Commune simple,122.0,463.0,0,
56089,Commune simple,140.0,5144.0,0,
49179,Commune simple,116.0,2201.0,0,
70090,Commune simple,234.0,228.0,0,
21215,Commune simple,201.0,633.0,0,
77004,Commune simple,97.0,807.0,0,
43063,Commune simple,644.0,1220.0,0,
03011,Commune simple,246.0,2580.0,0,
47313,Commune simple,95.0,1176.0,0,
83072,Chef-lieu canton,189.0,6461.0,0,
12280,Commune simple,902.0,3871.0,0,
10031,Commune simple,80.0,1864.0,0,
33457,Commune simple,33.0,669.0,0,
91223,Sous-préfecture,128.0,4601.0,0,
63221,Commune simple,1032.0,1712.0,0,
06047,Commune simple,753.0,1261.0,0,
86252,Commune simple,79.0,2119.0,0,
85256,Commune simple,70.0,1765.0,0,
95199,Chef-lieu canton,125.0,851.0,0,
57751,Chef-lieu canton,174.0,1458.0,0,
95628,Commune simple,80.0,456.0,0,
86154,Commune simple,105.0,1373.0,0,
88050,Commune simple,468.0,848.0,0,
63354,Chef-lieu canton,654.0,4769.0,0,
51619,Commune simple,164.0,1389.0,0,
14169,Commune simple,38.0,343.0,0,
73231,Commune simple,1277.0,2053.0,0,
08256,Commune simple,158.0,1273.0,0,
14151,Commune simple,303.0,1414.0,0,
60166,Commune simple,75.0,1056.0,0,
78324,Commune simple,110.0,282.0,0,
91121,Commune simple,107.0,1596.0,0,
2A060,Commune simple,360.0,345.0,0,
31469,Commune simple,279.0,665.0,0,
05001,Commune simple,2272.0,7765.0,0,
80071,Commune simple,122.0,2286.0,0,
29298,Commune simple,23.0,908.0,0,
70329,Commune simple,285.0,715.0,0,
15014,Préfecture,668.0,2916.0,0,
57470,Commune simple,245.0,325.0,0,
66103,Commune simple,343.0,489.0,0,
76234,Commune simple,155.0,641.0,0,
09107,Commune simple,422.0,4166.0,0,
39350,Chef-lieu canton,228.0,987.0,0,
15228,Commune simple,603.0,5067.0,0,
01297,Commune simple,279.0,1118.0,0,
03069,Commune simple,358.0,1276.0,0,
66175,Commune simple,49.0,996.0,0,
30121,Commune simple,95.0,559.0,0,
17021,Commune simple,8.0,2035.0,0,
56171,Commune simple,70.0,3538.0,0,
35259,Commune simple,39.0,2418.0,0,
24320,Commune simple,322.0,4903.0,0,
12202,Préfecture,565.0,1130.0,0,
72153,Commune simple,143.0,2654.0,0,
02288,Commune simple,104.0,461.0,0,
54271,Commune simple,332.0,475.0,0,
71431,Commune simple,280.0,1115.0,0,
51349,Commune simple,130.0,2211.0,0,
35261,Commune simple,74.0,328.0,0,
10055,Commune simple,196.0,1663.0,0,
86061,Chef-lieu canton,156.0,4463.0,0,
42143,Commune simple,348.0,706.0,0,
40223,Commune simple,103.0,1042.0,0,
28222,Commune simple,150.0,1669.0,0,
42314,Commune simple,853.0,3150.0,0,
58095,Chef-lieu canton,203.0,4817.0,0,
11387,Commune simple,363.0,862.0,0,
75118,Capitale d'état,57.0,604.0,0,
16251,Commune simple,123.0,1825.0,0,
50606,Commune simple,7.0,1006.0,0,
18198,Commune simple,146.0,3180.0,0,
50329,Commune simple,96.0,980.0,0,
50634,Commune simple,69.0,258.0,0,
